PartNumber,Description,Quantity,Location
00185867,TRACK FOR RASM non sap L=560 AUS. NB420 CPL LEFT ( Belt L=1640 ),0,Unassigned
00185869,TRACK FOR RASM non sap L=760 AUS. NB620 CPL LEFT (Belt L=2040),3,Unassigned
00185870,TRACK FOR RASM non sap L=760 AUS. NB620 CPL RIGHT ( Belt L=2040),2,Unassigned
00188227,SCALE STOP & GO,0,Unassigned
00189227,BEVEL GEAR MOTOR non sap GKR05-2M HAK 071C42 BR,1,Unassigned
00190053,"Gearbox mustang teleforks/belt conveyor gearbox MKSH 0 , I=20",0,Unassigned
00192763,LIFTING MODULE non sap 24V/DC HMC 2-1/180-30 F-E,1,Unassigned
00192777,"MOTOR non sap 6,6 KW / 480V / 60HZ 132S",1,Unassigned
00192782,LIFTING MODULE non sap 24V/DC HMC 2-1/180-15 F-E,0,Unassigned
00192783,HYDRAULIC CYLINDERS non sap Ø 70 MM / 100 MM,1,Unassigned
00192786,"MOTOR non sap 3,0 KW / 480V / 60HZ 100L",1,Unassigned
00193021,"GUIDE RAIL non sap SLE 18X14,1X100-KS",2,Unassigned
00193400,ANTICLISS COATING S-SAFETY-WALK TYPE 1 (non sap) SW1-18140/140 mm br. /Typ,0,Unassigned
00193404,STEERING RACK non sap M=2 20X15X1400 BB29 ; M6,1,Unassigned
00193473,CARDAN SHAFT non sap LF = 246 MM,1,Unassigned
00193474,FLYER CHAIN FL 523 B (LENGTH: 1890 MM) non sap ONLY IN PAIRS EXCHANGE,484,Unassigned
00193479,"RACK  TF MPS MAGNUS Cranes 2-7 M = 2 H = 13, W = 15, L =1400",5,Unassigned
00193481,"FLYER CHAIN FL 1/2""-4X4 (LENGTH: 2530 MM) non sap ONLY IN PAIRS EXCHANGE (1012MM in MIN/MAX)",0,Unassigned
00193483,"FLYER CHAIN FL 1/2""-4X4 (LENGTH: 2530 MM) non sap ONLY IN PAIRS EXCHANGE",0,Unassigned
00193689,FESTO Repack Table Proximity Switch non sap KMYZ-9-24-5-LED-PU Part#00193689,4,Unassigned
00193870,KEYBOARD UNIT KEYBOARD,1,Unassigned
00193872,MOTHERBOARD non sap COMPUTER,1,Unassigned
00193880,BELT non sap L=470 X 2515 MM,1,Unassigned
00193884,LIGHT BARRIER non sap Sensor,1,Unassigned
00194220,TENSIONING PULLEY non sap FB 1130 D130 LFTC 35,1,Unassigned
00194530,COMBINED BEARING non sap MIT AP2 (212.005.000),1,Unassigned
00194533,BEARING UNIT non sap 4056,1,Unassigned
00194535,PLATE WITH BUFFER non sap 500398,1,Unassigned
00194540,COUNTERWEIGHT non sap Black plate,1,Unassigned
00194544,FIXATION BRACKET non sap 1120.10.03,1,Unassigned
00194548,PLATE non sap PLATE,1,Unassigned
00194550,ENERGY CHAIN FOR THE TRAVELLING UNIT non sap L=2650 MM / 58 GL.,1,Unassigned
00194553,CONNECTION SERIE 240.10 non sap 2100.34PZB,2,Unassigned
