|||||||||||||||||
DPS Week|
|2020-15|
Week 15|
1852126|36.51|36.78|9.75|0.00|92.05%|99.28%|95.09%|99.85%|139|2|0|17|16|30|0
1421029|31.99|32.27|11.13|67.00|88.16%|99.14%|100.51%|99.98%|21|7|16|32|14|19|1
1769119|23.75|23.97|5.93|0.00|92.81%|99.10%|101.78%|99.98%|15|0|2|9|11|4|0
1850425|29.93|30.25|6.15|0.00|88.95%|98.96%|93.20%|99.87%|70|2|0|32|31|7|0
694995|30.56|31.06|9.95|164.00|89.44%|98.41%|100.96%|99.96%|25|3|11|27|14|9|4
773205|14.88|15.21|6.02|21.00|87.19%|97.84%|98.40%|99.96%|14|1|6|16|9|9|5
1594933|25.30|26.05|8.98|145.00|84.50%|97.14%|97.32%|99.95%|21|2|6|19|11|12|1
1841510|35.16|36.31|7.53|25.00|88.87%|96.81%|97.65%|99.91%|63|3|10|22|12|1|0
1829532|31.30|32.86|6.30|82.00|87.86%|95.24%|99.81%|99.90%|59|1|0|15|13|17|0
1853088|21.79|23.26|5.65|10.00|90.17%|93.72%|92.13%|99.87%|58|0|1|12|13||
1256076|18.85|20.12|2.90|0.00|94.72%|93.69%|96.86%|100.00%|3|0|1|17|17|6|0
1594677|19.27|20.63|5.47|0.00|92.30%|93.42%|NO DATA|99.96%|15|1|0|11|8|5|1
1851073|13.97|15.06|3.77|0.00|86.13%|92.80%|93.37%|99.89%|72|0|1|7|8|1|0
1856664|27.13|29.28|7.17|0.00|89.86%|92.68%|87.61%|99.98%|12|2|0|25|21||
1410552|13.52|14.62|3.33|0.00|86.32%|92.53%|93.69%|100.00%||5|3|16|9|3|0
1864251|25.19|27.54|4.68|0.00|96.44%|91.46%|NO DATA|99.94%|11|2|1|18|18|1|0
550191|10.07|11.80|2.80|0.00|89.64%|85.38%|79.84%|99.88%|30|0|6|12|7|1|0
1840999|31.94|38.25|7.85|0.00|87.66%|83.52%|90.19%|99.97%|30|2|20|43|25|10|0
1856820|21.28|25.70|3.37|0.00|82.42%|82.81%|NO DATA|99.88%|20|5|3|24|15|5|1
1867795|16.55|23.00|5.92|0.00|162.64%|71.98%|NO DATA|99.83%|20|1|1|21|19|14|0
1867784|11.53|20.24|3.50|0.00|230.24%|56.96%|NO DATA|100.00%||1|2|12|9|0|3
